YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1923,0.1,92.2,8.2,22.1,71.5,154.3,330.8,405.6,110.1,72.2,16.9,1.2,1285.2
1924,8.2,5.3,0.3,38.5,64.9,181.2,308,260.7,254.8,82.1,62.5,0,1266.5
1925,10.7,14.8,28.4,78.9,106.2,171.8,305.7,211.2,158.4,184.5,3.1,0,1273.6
1926,26.4,9.5,111.3,25.6,85.5,103.7,579.3,431.3,243.7,78.9,0.9,9.1,1705.4
1927,31.6,37.4,9.1,22.3,96.7,227.7,317.4,224.6,161.6,58.6,3.7,0,1190.5
1928,12.8,3.2,1.6,51.3,110.9,427,428.1,325.1,113.3,149.9,1.7,0.1,1625
1929,42.8,13.2,38.8,41.8,52.5,208.1,398.6,297.3,168.3,264.6,0,31.4,1557.3
1930,1.8,12.1,19.9,18.6,86.3,186.9,410.7,307.3,200.1,41.1,95.1,1.1,1380.8
1931,2.2,74.6,27.1,22.7,111.5,157.2,368.5,286.7,197,168.3,59,0.9,1475.8
1932,0,12.9,5.1,31.9,196.6,151.1,297.5,259.6,177.7,64.2,110.2,0,1306.9
1933,16.3,53.3,3.7,75.6,171.6,326.3,384.9,420.8,266.9,144.8,2.1,0.8,1867.2
1934,5.5,19.6,0.6,39.9,58.6,200,209,269.6,197.1,85,14.9,17.8,1117.4
1935,12.1,26.3,30.8,34.6,33.6,163.4,233.1,298.9,171.1,9.6,0,1.6,1015.1
1936,9.8,12.6,20.3,16.4,223.8,299.9,331.4,251.4,253.9,74.7,4,7.5,1505.6
1937,0,112.8,8.6,16.8,130.3,300.8,265.6,280.4,295.7,109.2,1.9,0.4,1522.5
1938,15.7,33.1,2.8,8.9,234.9,233.7,244.6,310.2,160.8,78.9,14.2,0,1337.8
1939,2.4,23.1,10.9,20.2,70.2,250.5,420.2,450.9,207.5,220.6,21.2,0.8,1698.4
1940,0.1,30.3,103.9,18.3,98.9,218.1,236.2,384.3,199.6,58.9,7.3,2.8,1358.5
1941,29.3,0.4,0.7,27.6,87.5,376.1,404.3,396.5,184.4,219.6,74.3,0.4,1801.1
1942,1.2,16.7,14.7,52,64.2,144.5,374.9,406.9,384.1,142.6,13.9,0,1615.6
1943,39.4,25.7,16.9,85.4,53.6,209.5,418.5,320.5,186.8,90,0,0,1446.2
1944,60,24.4,40.2,44.8,36.1,147.5,349.8,477.4,147,79.1,0.1,0,1406.4
1945,18,13.6,5.1,75.7,110.2,196.2,196.3,213.2,198.6,244.2,0.1,0.3,1271.5
1946,0,4.2,11.3,131.5,117.6,247.4,297.4,374.2,305.3,196.8,28.3,0.2,1714.2
1947,3.4,13.1,43.3,18.4,104,172.7,348.9,292,237.4,95.9,0.5,33.5,1363
